Country,Sport
Afghanistan,Buzkashi
Anguilla,Yacht racing
Antigua and Barbuda,Cricket
Argentina,Pato
Australia,"Cricket, AFL"
Bangladesh,Kabaddi
Bhutan,Archery
Brazil,Capoeira
Canada,Ice hockey
Chile,Chilean rodeo
China,Table Tennis
Colombia,Tejo
Denmark,"Aossociation Football, Handball"
England,"Association Football, Cricket"
Estonia,Basketball
Finland,Pesäpallo
Guyana,"Cricket, Water Polo"
Hungary,Football or Water polo
Iceland,Handball
India,Field Hockey
Indonesia,Pencak Silat
Iran,Varzesh-e Bastani (wrestling)
Ireland,Gaelic games
Italy,Football
Japan,Sumo Wrestling
Latvia,Basketball
Malaysia,Sepak Takraw
Mexico,Charrería
Mongolia,"Archery, Mongolian wrestling, Horse racing"
Nepal,Volleyball
New Zealand,Rugby Union
Norway,Cross-country skiing
Papua New Guinea,Rugby league
Peru,Paleta Frontón
Philippines,Arnis
Puerto Rico,"Baseball, Paso Fino"
Romania,Oina
Russia,Bandy
Scotland,Golf
Serbia,Banatske Šore
Slovenia,Alpine skiing
South Korea,Taekwondo
Tajikistan,Gushtigiri
Turkey,Oil wrestling & Cirit
United States,Baseball
Uruguay,Destrezas Criollas (Creole Skills)
